CE205#B.Tech Civil Engineering#2016#AUG#Departmental core
CE205#B.Tech Civil Engineering#2016#JAN#Departmental core
CE205#B.Tech Civil Engineering#2017#AUG#Departmental core
CE205#B.Tech Civil Engineering#2017#JAN#Departmental core
CE205#B.Tech Civil Engineering#2018#AUG#Departmental core
CE205#B.Tech Civil Engineering#2018#JAN#Departmental core
CE205#B.Tech Civil Engineering#2019#AUG#Departmental core
CE205#B.Tech Civil Engineering#2019#JAN#Departmental core
CE212#B.Tech Civil Engineering#2016#AUG#Departmental core
CE212#B.Tech Civil Engineering#2016#JAN#Departmental core
CE212#B.Tech Civil Engineering#2017#AUG#Departmental core
CE212#B.Tech Civil Engineering#2017#JAN#Departmental core
CE212#B.Tech Civil Engineering#2018#AUG#Departmental core
CE212#B.Tech Civil Engineering#2018#JAN#Departmental core
CE212#B.Tech Civil Engineering#2019#AUG#Departmental core
CE212#B.Tech Civil Engineering#2019#JAN#Departmental core
CE214#B.Tech Civil Engineering#2016#AUG#Departmental core
CE214#B.Tech Civil Engineering#2016#JAN#Departmental core
CE214#B.Tech Civil Engineering#2017#AUG#Departmental core
CE214#B.Tech Civil Engineering#2017#JAN#Departmental core
CE214#B.Tech Civil Engineering#2018#AUG#Departmental core
CE214#B.Tech Civil Engineering#2018#JAN#Departmental core
CE214#B.Tech Civil Engineering#2019#AUG#Departmental core
CE214#B.Tech Civil Engineering#2019#JAN#Departmental core
CE220#B.Tech Civil Engineering#2016#AUG#Departmental core
CE220#B.Tech Civil Engineering#2016#JAN#Departmental core
CE220#B.Tech Civil Engineering#2017#AUG#Departmental core
CE220#B.Tech Civil Engineering#2017#JAN#Departmental core
CE220#B.Tech Civil Engineering#2018#AUG#Departmental core
CE220#B.Tech Civil Engineering#2018#JAN#Departmental core
CE220#B.Tech Civil Engineering#2019#AUG#Departmental core
CE220#B.Tech Civil Engineering#2019#JAN#Departmental core
CE221#B.Tech Civil Engineering#2016#AUG#Departmental core
CE221#B.Tech Civil Engineering#2016#JAN#Departmental core
CE221#B.Tech Civil Engineering#2017#AUG#Departmental core
CE221#B.Tech Civil Engineering#2017#JAN#Departmental core
CE221#B.Tech Civil Engineering#2018#AUG#Departmental core
CE221#B.Tech Civil Engineering#2018#JAN#Departmental core
CE221#B.Tech Civil Engineering#2019#AUG#Departmental core
CE221#B.Tech Civil Engineering#2019#JAN#Departmental core
CE215#B.Tech Civil Engineering#2016#AUG#Departmental core
CE215#B.Tech Civil Engineering#2016#JAN#Departmental core
CE215#B.Tech Civil Engineering#2017#AUG#Departmental core
CE215#B.Tech Civil Engineering#2017#JAN#Departmental core
CE215#B.Tech Civil Engineering#2018#AUG#Departmental core
CE215#B.Tech Civil Engineering#2018#JAN#Departmental core
CE215#B.Tech Civil Engineering#2019#AUG#Departmental core
CE215#B.Tech Civil Engineering#2019#JAN#Departmental core
CE222#B.Tech Civil Engineering#2016#AUG#Departmental core
CE222#B.Tech Civil Engineering#2016#JAN#Departmental core
CE222#B.Tech Civil Engineering#2017#AUG#Departmental core
CE222#B.Tech Civil Engineering#2017#JAN#Departmental core
CE222#B.Tech Civil Engineering#2018#AUG#Departmental core
CE222#B.Tech Civil Engineering#2018#JAN#Departmental core
CE222#B.Tech Civil Engineering#2019#AUG#Departmental core
CE222#B.Tech Civil Engineering#2019#JAN#Departmental core
CE223#B.Tech Civil Engineering#2016#AUG#Departmental core
CE223#B.Tech Civil Engineering#2016#JAN#Departmental core
CE223#B.Tech Civil Engineering#2017#AUG#Departmental core
CE223#B.Tech Civil Engineering#2017#JAN#Departmental core
CE223#B.Tech Civil Engineering#2018#AUG#Departmental core
CE223#B.Tech Civil Engineering#2018#JAN#Departmental core
CE223#B.Tech Civil Engineering#2019#AUG#Departmental core
CE223#B.Tech Civil Engineering#2019#JAN#Departmental core
CE201#B.Tech Civil Engineering#2016#AUG#Departmental core
CE201#B.Tech Civil Engineering#2016#JAN#Departmental core
CE201#B.Tech Civil Engineering#2017#AUG#Departmental core
CE201#B.Tech Civil Engineering#2017#JAN#Departmental core
CE201#B.Tech Civil Engineering#2018#AUG#Departmental core
CE201#B.Tech Civil Engineering#2018#JAN#Departmental core
CE201#B.Tech Civil Engineering#2019#AUG#Departmental core
