CourseNo.#Exam Slot#Exam Date and Time
BT202M#G#10-05-2022 (9:00 to 12:00)
BT206#D#07-05-2022 (9:00 to 12:00)
BT207#C#06-05-2022 (9:00 to 12:00)
BT208#A#04-05-2022 (9:00 to 12:00)
BT209#B#05-05-2022 (9:00 to 12:00)
BT211##
BT305#A1#04-05-2022 (14:00 to 17:00)
BT306#B1#05-05-2022 (14:00 to 17:00)
BT307#C1#06-05-2022 (14:00 to 17:00)
BT308#D1#07-05-2022 (14:00 to 17:00)
BT402##
BT403#C#06-05-2022 (9:00 to 12:00)
BT411#A#04-05-2022 (9:00 to 12:00)
BT412#D#07-05-2022 (9:00 to 12:00)
BT416#E#08-05-2022 (9:00 to 12:00)
BT420#B#05-05-2022 (9:00 to 12:00)
BT502#A#04-05-2022 (9:00 to 12:00)
BT504#B#05-05-2022 (9:00 to 12:00)
BT520##
BT601#F#09-05-2022 (9:00 to 12:00)
BT605#G1#10-05-2022 (14:00 to 17:00)
BT608#G#10-05-2022 (9:00 to 12:00)
BT609#D#07-05-2022 (9:00 to 12:00)
BT619#F1#09-05-2022 (14:00 to 17:00)
BT621#C#06-05-2022 (9:00 to 12:00)
BT622#A1#04-05-2022 (14:00 to 17:00)
BT630#G#10-05-2022 (9:00 to 12:00)
BT634#A1#04-05-2022 (14:00 to 17:00)
BT639#C#06-05-2022 (9:00 to 12:00)
BT640#F#09-05-2022 (9:00 to 12:00)
BT643#G1#10-05-2022 (14:00 to 17:00)
BT699##
BT651#D#07-05-2022 (9:00 to 12:00)
CE201#A#04-05-2022 (9:00 to 12:00)
CE205#B#05-05-2022 (9:00 to 12:00)
CE206#D#07-05-2022 (9:00 to 12:00)
CE213##
CE215##
CE220#C#06-05-2022 (9:00 to 12:00)
CE221##
CE222#E#08-05-2022 (9:00 to 12:00)
CE223##
CE252M#G#10-05-2022 (9:00 to 12:00)
CE308#A1#04-05-2022 (14:00 to 17:00)
CE309#B1#05-05-2022 (14:00 to 17:00)
CE320#C1#06-05-2022 (14:00 to 17:00)
CE321##
CE322#D1#07-05-2022 (14:00 to 17:00)
CE323##
CE324#E1#08-05-2022 (14:00 to 17:00)
CE504#B#05-05-2022 (9:00 to 12:00)
CE510#C1#06-05-2022 (14:00 to 17:00)
